group,seq,dimension,content,score,magnitude
1,43,experience,"So, for quick start, Java entry, create a file, and you can now put the code into a file and press F5 to run in the integrated terminal.",0.3,0.3
1,44,experience,OK.,0.5,0.5
1,45,experience,"firstly, open the terminal and the file.",0,0
1,46,experience,Here.,0,0
1,47,experience,right.,0.3,0.3
1,48,experience,"actually, we can and uh rename the file as we want.",0.3,0.3
1,49,experience,"but, there just an instruction.",-0.3,0.3
1,50,experience,I have a run.,-0.1,0.1
1,51,experience,OK.,0.5,0.5
1,52,experience,if we run debug.,-0.1,0.1
1,53,experience,OK.,0.5,0.5
1,54,experience,"let's see how to debug. and, press the breakpoint, and press F5 again.",-0.1,0.1
1,55,experience,I hope we can debug it.,0,0
1,56,experience,OK.,0.5,0.5
1,57,experience,"now, we are in this line and we can debug it line by line.",0.2,0.2
1,58,experience,OK.,0.5,0.5
1,59,experience,it workes.,-0.1,0.1
1,60,experience,let’s start with the first task.,0,0
1,61,experience,"uh,did you access the material?",-0.1,0.1
1,62,experience,you can also open on your computer and read it.,0.7,0.7
1,63,experience,"and, we can talk to confirm our understanding together.",0.4,0.4
1,64,experience,"ah, I can write it first.",0.1,0.1
1,65,experience,OK.,0.5,0.5
1,66,experience,the first task is the convert string to camel case from dash and underscore.,0,0
1,67,experience,I think it's just like uh eliminate underscore or dash and change the first character to be the capitalized.,-0.1,0.1
1,68,experience,"but, the problem is why this one is not capitalized.",-0.7,0.7
1,69,experience,"Camel casing, the first character should be.",0,0
1,70,experience,Yeah.,0.7,0.7
1,71,experience,I think so.,0,0
1,72,experience,"So let's see JAVA ,how to write Java, what's in your mind?",-0.2,0.2
1,73,experience,what flow we have to do it?,0,0
1,74,experience,"for example, first step we have to capitalize.",-0.3,0.3
1,75,experience,no. first that we have to eliminate dash and underscore.,-0.3,0.3
1,76,experience,right.,0.3,0.3
1,77,experience,OK.,0.5,0.5
1,78,experience,let me write a brief steps.,-0.1,0.1
1,79,experience,"eliminate dash and underscore ,right?",-0.2,0.2
1,80,experience,and the second one is changing the first character.,0,0
1,81,experience,you can also guide me you if you have ideas.,0.8,0.8
1,82,experience,hello.,0.2,0.2
1,83,experience,are you still with me or do you have any other ideas?,-0.2,0.2
1,84,experience,"you mean that Java library have the method to change into Camelcase, right?",-0.4,0.4
1,85,experience,OK.,0.5,0.5
1,86,experience,"while you are searching, I will try to create a function I wish to.",0,0
1,87,experience,OK.,0.5,0.5
1,88,experience,what I just wrote is only replace dash to blank and underscore to blank.,-0.7,0.7
1,89,experience,and do you have any idea how to convert to camel case?,-0.1,0.1
1,90,experience,hmm.,0,0
1,91,experience,yeah.,0.9,0.9
1,92,experience,oh.,0.2,0.2
1,93,experience,you cannot write you have no permission.,-0.8,0.8
1,94,experience,"oh , you have read only.",-0.3,0.3
1,95,experience,how should I know.,-0.3,0.3
1,96,experience,oh.,0.2,0.2
1,97,experience,here read only.,-0.2,0.2
1,98,experience,OK.,0.5,0.5
1,99,experience,This is a shared terminal.,-0.1,0.1
1,100,experience,why?,-0.5,0.5
1,101,experience,what happened?,-0.4,0.4
1,102,experience,convert.,0,0
1,103,experience,"oh, I have an idea like this whenever we found that or we changed next one after that underscore be the capitalized.",0,0
1,104,experience,and I think it's the same as you.,0.2,0.2
1,105,experience,would.,0.1,0.1
1,106,experience,Oh.,0.2,0.2
1,107,experience,"yeah, I want to write check the length and here check each character.",0,0
1,108,experience,after that we should convert to capitalize.,-0.5,0.5
1,109,experience,OK.,0.5,0.5
1,110,experience,"and then, continue.",0,0
1,111,experience,OK.,0.5,0.5
1,112,experience,"So, what we have to revise is this one because we have to focus on both dash or underscore.",-0.3,0.3
1,113,experience,And try to put some text like?,-0.2,0.2
1,114,experience,OK.,0.5,0.5
1,115,experience,and change.,-0.2,0.2
1,116,experience,OK.,0.5,0.5
1,117,experience,let's try.,0.2,0.2
1,118,experience,we got this.,0,0
1,119,experience,can you see my terminal?,0,0
1,120,experience,OK.,0.5,0.5
1,121,experience,I input the steal warrior.,-0.1,0.1
1,122,experience,and this is the same as this.,-0.3,0.3
1,123,experience,Yeah.,0.7,0.7
1,124,experience,cool.,0.9,0.9
1,125,experience,And another one is to change this here and see what's happened.,-0.6,0.6
1,126,experience,the result is Oh here.,0,0
1,127,experience,still here.,-0.1,0.1
1,128,experience,OK.,0.5,0.5
1,129,experience,it's the same.,-0.1,0.1
1,130,experience,we're good.,0.7,0.7
1,131,experience,"yeah, we've got it, the first task.",0.1,0.1
1,132,experience,"The next task, task two.",0,0
1,133,experience,OK.,0.5,0.5
1,134,experience,you can try to be the driver.,0.1,0.1
1,135,experience,"now, I can help.",0.7,0.7
1,136,experience,come on.,-0.4,0.4
1,137,experience,you.,0.1,0.1
1,138,experience,here.,0,0
1,139,experience,Yeah.,0.7,0.7
1,140,experience,uh it's just the recommendation.,0.6,0.6
1,141,experience,It is the rule of the java.,-0.1,0.1
1,142,experience,we have to uh create the class the name class as the file name.,-0.2,0.2
1,143,experience,file name.,0,0
1,144,experience,but I'm not sure whether the quick start is not the same name as task 1.,-0.1,0.1
1,145,experience,"but, it's still OK.",0.2,0.2
1,146,experience,hmm.,0,0
1,147,experience,OK.,0.5,0.5
1,148,experience,I just read it persistent bugger like your function.,0.1,0.1
1,149,experience,"so, the result is a number of times, right? because the first one is 1* 5, uh 3 * 9, another one is here and here until we reach the only one digit.",-0.3,0.3
1,150,experience,It takes three times.,-0.6,0.6
1,151,experience,another one takes two times.,-0.6,0.6
1,152,experience,and third one is zero time.,-0.5,0.5
1,153,experience,it’s already one digit.,-0.2,0.2
1,154,experience,what are you doing you?,-0.2,0.2
1,155,experience,are trying to create a new function ?,-0.2,0.2
1,156,experience,"uh, let's discuss the step first.",-0.2,0.2
1,157,experience,you have to.,0.1,0.1
1,158,experience,uh OK.,0.5,0.5
1,159,experience,"so, we have two functions for.",-0.1,0.1
1,160,experience,the first function is checking that number of digits and another function is splitting the character of each digit and multiply them.,-0.5,0.5
1,161,experience,OK.,0.5,0.5
1,162,experience,that sounds good.,0.8,0.8
1,163,experience,Let me change the function name to be check number of digit.,-0.3,0.3
1,164,experience,"so, you have digit to string.",-0.1,0.1
1,165,experience,I'm not sure.,-0.1,0.1
1,166,experience,you can.,0,0
1,167,experience,"so, this function is your main task that loops for your number, right?",-0.3,0.3
1,168,experience,OK.,0.5,0.5
1,169,experience,the main task.,-0.3,0.3
1,170,experience,OK.,0.5,0.5
1,171,experience,"so, so, I think it should be a while loop instead of for.",-0.4,0.4
1,172,experience,because we don't know when we will be finished.,-0.3,0.3
1,173,experience,it’s only checking weather if.,-0.4,0.4
1,174,experience,whether there is only one character.,-0.3,0.3
1,175,experience,yeah.,0.9,0.9
1,176,experience,it can be changed from this to this.,-0.2,0.2
1,177,experience,yeah.,0.9,0.9
1,178,experience,right.,0.3,0.3
1,179,experience,and while for the number of length and greater than one.,0,0
1,180,experience,OK.,0.5,0.5
1,181,experience,yes.,0.6,0.6
1,182,experience,"the index equal to zero you mean ah the index of the character, right?",-0.4,0.4
1,183,experience,each character.,0.1,0.1
1,184,experience,each digit.,0,0
1,185,experience,uh let me think.,0,0
1,186,experience,uh because it is is the main function maybe integer dot parse int convert digit.,-0.2,0.2
1,187,experience,"no. actually, I think we should have a for inside.",-0.4,0.4
1,188,experience,sorry I removed your code.,-0.5,0.5
1,189,experience,OK.,0.5,0.5
1,190,experience,maybe index equal to zero and num length and index plus plus i.,-0.1,0.1
1,191,experience,OK.,0.5,0.5
1,192,experience,I got your point.,0.2,0.2
1,193,experience,at this time we have to loop for all of characters.,-0.5,0.5
1,194,experience,we have and convert it 1 by 1.,0,0
1,195,experience,uh-huh and then let me think.,-0.5,0.5
1,196,experience,is that Infinity loop you know? because the number is always greater than one.,-0.3,0.3
1,197,experience,so we have to.,-0.1,0.1
1,198,experience,OK.,0.5,0.5
1,199,experience,let’s comment out like this.,0.3,0.3
1,200,experience,right.,0.3,0.3
1,201,experience,or do you want to?,0,0
1,202,experience,what happened?,-0.4,0.4
1,203,experience,OK.,0.5,0.5
1,204,experience,OK.,0.5,0.5
1,205,experience,as you want.,0.7,0.7
1,206,experience,Never mind.,0.1,0.1
1,207,experience,you've got two.,0.2,0.2
1,208,experience,OK.,0.5,0.5
1,209,experience,we can comment out.,0.1,0.1
1,210,experience,you got two.,0,0
1,211,experience,and we uh loop for every digit and then.  because uh if you see this one 39 is 3 * 9 and do like this until it's changed should be 1 digit.,-0.3,0.3
1,212,experience,am I wrong?,-0.3,0.3
1,213,experience,I'm not sure.,-0.1,0.1
1,214,experience,I try I. I think that.,0,0
1,215,experience,"from me, is the outer loop while loop is cover all of this one.",0,0
1,216,experience,but inner loop is only one it just converts character.,-0.4,0.4
1,217,experience,"and then, put two multiply each other.",-0.1,0.1
1,218,experience,"now, we have to each one of these should be.",0,0
1,219,experience,but it is integer.,-0.2,0.2
1,220,experience,yes.,0.6,0.6
1,221,experience,number integer number of digits.,0,0
1,222,experience,we can.,0,0
1,223,experience,integer dot to string is.,-0.2,0.2
1,224,experience,OK.,0.5,0.5
1,225,experience,uh let me see.,-0.1,0.1
1,226,experience,tell me.,-0.2,0.2
1,227,experience,yes.,0.6,0.6
1,228,experience,ha ha string and address.,0,0
1,229,experience,one moment.,0.4,0.4
1,230,experience,you maybe have to cast it first.,-0.1,0.1
1,231,experience,I’m not sure.,-0.1,0.1
1,232,experience,OK.,0.5,0.5
1,233,experience,"so, the the result is string, right?",-0.2,0.2
1,234,experience,oh sorry.,-0.5,0.5
1,235,experience,oh really?,-0.3,0.3
1,236,experience,OK.,0.5,0.5
1,237,experience,"So what you mean is is while, right?",-0.2,0.2
1,238,experience,OK.,0.5,0.5
1,239,experience,I've got one.,0,0
1,240,experience,And another one we got eight.,0,0
1,241,experience,"oh, cool!",0.9,0.9
1,242,experience,"oh it looks like we have no need to use for row, right?",-0.5,0.5
1,243,experience,"And just use index like you wrote at the first, equal to zero.",-0.5,0.5
1,244,experience,OK.,0.5,0.5
1,245,experience,cool! and then we have to.,0.8,0.8
1,246,experience,we have.,-0.1,0.1
1,247,experience,yeah.,0.9,0.9
1,248,experience,we have.,-0.1,0.1
1,249,experience,we have to write a for loop inside because we have to multiply each other together.,-0.3,0.3
1,250,experience,yes.,0.6,0.6
1,251,experience,"actually, we can.",0.3,0.3
1,252,experience,OK.,0.5,0.5
1,253,experience,no. actually we have to return index.,-0.6,0.6
1,254,experience,"no, we have to return the index because the question asked the number of times.",-0.6,0.6
1,255,experience,mm-hmm yes.,0.4,0.4
1,256,experience,right.,0.3,0.3
1,257,experience,right.,0.3,0.3
1,258,experience,right.,0.3,0.3
1,259,experience,So what we have to return this is the multiplier.,-0.6,0.6
1,260,experience,"yes, multiplier.",0,0
1,261,experience,so if you say like that.,-0.5,0.5
1,262,experience,we have to change while loop to an if.,-0.4,0.4
1,263,experience,am I correct?,0,0
1,264,experience,"if. and, OK.",0,0
1,265,experience,the time is up.,-0.1,0.1
1,266,experience,I think we can.,0.3,0.3
1,267,experience,OK.,0.5,0.5
1,268,experience,let's create a task 3.,-0.1,0.1
1,269,experience,"and let’s get started with, the with, the task description.",0.1,0.1
1,270,experience,Oh.,0.2,0.2
1,271,experience,you already got what the.,-0.1,0.1
1,272,experience,OK.,0.5,0.5
1,273,experience,"our flow is can you walk through each array for the each of the element of the array, right?",0,0
1,274,experience,"and try to calculate both sides and finish whenever it is equal for the both sides, right?",-0.1,0.1
1,275,experience,OK.,0.5,0.5
1,276,experience,Uh you didn't put in the function.,-0.8,0.8
1,277,experience,I’m just curious that what’s the error is this.,-0.7,0.7
1,278,experience,"And, I’m trying to help.",-0.1,0.1
1,279,experience,"And, input in to the main function.",0,0
1,280,experience,I think this one is incorrect.,-0.8,0.8
1,281,experience,"it should be changed to i, right? because if it's fixed to be one you will start only last.",-0.7,0.7
1,282,experience,No problem.,0.6,0.6
1,283,experience,That's OK.,0.3,0.3
1,284,experience,I’ve never tried to.,-0.3,0.3
1,285,experience,OK.,0.5,0.5
1,286,experience,"so, the number of new is the index divided by 2.",0,0
1,287,experience,Is that correct?,-0.2,0.2
1,288,experience,oh OK.,0.4,0.4
1,289,experience,cool.,0.9,0.9
1,290,experience,yeah.,0.9,0.9
1,291,experience,we have to divide by ourselves.,-0.6,0.6
1,292,experience,if it's equal.,0,0
1,293,experience,The length is divided by two.,-0.1,0.1
1,294,experience,uh yes.,0.7,0.7
1,295,experience,round down I think yes yeah.,0.7,0.7
1,296,experience,Math dot round.,0,0
1,297,experience,"floor, because round may be round up.",-0.2,0.2
1,298,experience,dot floor return double.,-0.3,0.3
1,299,experience,we have to and.,-0.1,0.1
1,300,experience,yeah.,0.9,0.9
1,301,experience,you can put in front of me.,0.1,0.1
1,302,experience,"And is that OK or not? because of our array length, 12345618.",-0.1,0.1
1,303,experience,so the length is 8 / 2 is 4.,0,0
1,304,experience,OK.,0.5,0.5
1,305,experience,that's fine.,0.4,0.4
1,306,experience,oh. that's fine or not?,0,0
1,307,experience,OK.,0.5,0.5
1,308,experience,that's fine.,0.4,0.4
1,309,experience,because we used a greater than and start by zero. should be 023.,-0.4,0.4
1,310,experience,OK.,0.5,0.5
1,311,experience,"cool. and the results, we have to return.",0.6,0.6
1,312,experience,we have to return the position that makes two side equal to each other.,-0.5,0.5
1,313,experience,position is OK.,0.2,0.2
1,314,experience,"some if true, we can we can return index.",-0.2,0.2
1,315,experience,"actually, I think it's OK. is OK.",0.3,0.3
1,316,experience,to reach the maximum is the number of array divide one by two.,0,0
1,317,experience,but we can stop before right I guess.,-0.1,0.1
1,318,experience,and I’m not sure that in this programming language write like this or not.,-0.5,0.5
1,319,experience,we can create something like boolean is equal to false and false.,-0.7,0.7
1,320,experience,yes. and set is equal to true.,0.5,0.5
1,321,experience,yes.,0.6,0.6
1,322,experience,exactly.,0.6,0.6
1,323,experience,"and we have to return the index, right?",-0.6,0.6
1,324,experience,the index position.,-0.1,0.1
1,325,experience,"So, we should define the index.",-0.3,0.3
1,326,experience,no. should define i before going to the loop. and we can return.,-0.4,0.4
1,327,experience,"no, sorry.",-0.8,0.8
1,328,experience,my fault.,-0.9,0.9
1,329,experience,we can also break.,0.1,0.1
1,330,experience,I think we can return here because it's already found and we can return i.,0.4,0.4
1,331,experience,"So, we have to traverse and until the mid of the array, right?",-0.4,0.4
1,332,experience,so then you're right.,-0.1,0.1
1,333,experience,should be like this.,0.8,0.8
1,334,experience,"No. in your case uh, we have to traverse until.",-0.4,0.4
1,335,experience,"no actually uh, calculate like this works only when size is the same size.",-0.6,0.6
1,336,experience,"But, what I mean is in our case uh if we have abcde  or the first we should to calculate a and b plus c plus d plus e. not.",-0.4,0.4
1,337,experience,We go to the first to another group like a plus b and calculate c plus d plus e plus is the same one.,0.4,0.4
1,338,experience,Not go further.,-0.6,0.6
1,339,experience,"But, this loop does not have behavior like this.",-0.8,0.8
1,340,experience,Do you get it?,0,0
1,341,experience,"So, we have to first maybe maybe two loops.",-0.2,0.2
1,342,experience,uh let's try.,0,0
1,343,experience,Never mind.,0.1,0.1
1,344,experience,That's OK.,0.3,0.3
1,345,experience,Then let me try.,-0.4,0.4
1,346,experience,you know this.,0,0
1,347,experience,One moment.,0.4,0.4
1,348,experience,Let me try a calculation in a couple minutes.,0.1,0.1
1,349,experience,Are you saying you have a problem? if we calculate like I mean some of the array.,-0.6,0.6
1,350,experience,It means if we go from the left side and the right side at the same pace.,-0.1,0.1
1,351,experience,Do you know what I mean?,0,0
1,352,experience,"a b c d e. but what I understand is like if we start from the left side and calculate for the left side and every time, we calculate the left side calculate all right side or no we have the same.",-0.3,0.3
1,353,experience,OK.,0.5,0.5
1,354,experience,you we can try your solution first.,0,0
1,355,experience,ok.,0.7,0.7
1,356,experience,let’s try.,0.2,0.2
1,357,experience,here try let’s put the.,0,0
1,358,experience,OK.,0.5,0.5
1,359,experience,I will try.,0.1,0.1
1,360,experience,oh what's happened.,-0.4,0.4
1,361,experience,huh return.,-0.6,0.6
1,362,experience,"oh, you have to return everything and here you may be.",-0.5,0.5
1,363,experience,Yes.,0.4,0.4
1,364,experience,hey.,0.2,0.2
1,365,experience,what happened?,-0.4,0.4
1,366,experience,OK.,0.5,0.5
1,367,experience,come on.,-0.4,0.4
1,368,experience,It said index out of range.,-0.5,0.5
1,369,experience,get index range.,-0.1,0.1
1,370,experience,OK.,0.5,0.5
1,371,experience,let's see debug step by step.,0.1,0.1
1,372,experience,and we got index 4 for go inside.,0,0
1,373,experience,four.,0.1,0.1
1,374,experience,yes. and then they explore.,0,0
1,375,experience,oh because of we use length.,0,0
1,376,experience,oh should have because this thing is equal to 8 minus zero.,-0.2,0.2
1,377,experience,minus zero.,-0.7,0.7
1,378,experience,it's gone.,-0.7,0.7
1,379,experience,I already.,-0.1,0.1
1,380,experience,OK.,0.5,0.5
1,381,experience,"let's see another one, here.",0,0
1,382,experience,"should be equal, should be minus one because the array starts from zero you know what I mean?",-0.7,0.7
1,383,experience,yes.,0.6,0.6
1,384,experience,what thing you have changed.,-0.3,0.3
1,385,experience,OK.,0.5,0.5
1,386,experience,let’s change to second one.,0,0
1,387,experience,it could be.,0,0
1,388,experience,"should be zero, right?",-0.5,0.5
1,389,experience,Your length should be.,-0.1,0.1
1,390,experience,OK.,0.5,0.5
1,391,experience,cool.,0.9,0.9
1,392,experience,you're right.,0.4,0.4
1,393,experience,wow we finished!,0.9,0.9
1,394,experience,I think it is okay.,0.4,0.4
1,395,experience,we almost finished them.,0,0
1,1,novice,Taleh hi I'm sending on the chat.,-0.2,0.2
1,2,novice,yes.,0.6,0.6
1,3,novice,OK.,0.5,0.5
1,4,novice,oh.,0.2,0.2
1,5,novice,How you wish.,0.4,0.4
1,6,novice,doesn't matter.,-0.1,0.1
1,7,novice,yes.,0.6,0.6
1,8,novice,I opened it.,0,0
1,9,novice,You still have to rename it.,-0.5,0.5
1,10,novice,You also need to rename the java file.,-0.5,0.5
1,11,novice,yes.,0.6,0.6
1,12,novice,"sure, So, you will write or you will write.",-0.2,0.2
1,13,novice,the first character should be the capital letter.,-0.1,0.1
1,14,novice,I was checking on the Google that if there has a specific method for that.,-0.2,0.2
1,15,novice,yes.,0.6,0.6
1,16,novice,I search from google or somewhere.,0,0
1,17,novice,yeah.,0.9,0.9
1,18,novice,I have found the function for that.,0.2,0.2
1,19,novice,should I copy paste there ?,-0.1,0.1
1,20,novice,I cannot.,-0.7,0.7
1,21,novice,maybe if you click on the read only.,-0.3,0.3
1,22,novice,maybe you can change it to write access.,-0.2,0.2
1,23,novice,I still cannot.,-0.7,0.7
1,24,novice,"now, we can use.",0.6,0.6
1,25,novice,OK.,0.5,0.5
1,26,novice,"sorry, I think that is my bad.",-0.8,0.8
1,27,novice,I was watching from the zoom.,-0.1,0.1
1,28,novice,I thought that is the same screen.,-0.5,0.5
1,29,novice,mm-hmm I have to do the second part?,-0.1,0.1
1,30,novice,OK.,0.5,0.5
1,31,novice,Let me read.,-0.2,0.2
1,32,novice,I didn't understand the task.,-0.7,0.7
1,33,novice,I mean.,-0.1,0.1
1,34,novice,I mean the task description I don't understand like what does it come from us on the second task.,-0.6,0.6
1,35,novice,Ah.,0,0
1,36,novice,"so, I understand.",0,0
1,37,novice,yeah. and.,0,0
1,38,novice,uh and.,-0.1,0.1
1,39,novice,the idea is to convert digit to string first to then check its length.,-0.1,0.1
1,40,novice,"if it's more than one, then we need to continue the process.",-0.1,0.1
1,41,novice,"so, we will check the the length of that and within the of each item of the array.",-0.1,0.1
1,42,novice,"I mean, the character of the string.",0,0
1,43,novice,"then, convert it to integer again.",-0.2,0.2
1,44,novice,"then, multiplied by it.",0,0
1,45,novice,"then, uh do it again and again until we reached the single digit.",-0.1,0.1
1,46,novice,does it a sound good?,-0.1,0.1
1,47,novice,I'm sorry Uh.,-0.7,0.7
1,48,novice,yes.,0.6,0.6
1,49,novice,let’s write all of them here.,0.1,0.1
1,50,novice,"so, we can cut it.",0,0
1,51,novice,"and then, put it in the second method.",0,0
1,52,novice,you’re right.,0.4,0.4
1,53,novice,yeah.,0.9,0.9
1,54,novice,"um then we also need int, right?",-0.2,0.2
1,55,novice,and then um.,0,0
1,56,novice,uh yes.,0.7,0.7
1,57,novice,do we have to integer function or to convert to integer ?,-0.1,0.1
1,58,novice,Oh yeah.,0.8,0.8
1,59,novice,I think we did something wrong in here.,-0.8,0.8
1,60,novice,yeah. or we didn't?,0,0
1,61,novice,can we just do a just test it here?,0,0
1,62,novice,I'm not sure if it is well no not for example.,-0.4,0.4
1,63,novice,uh no.,-0.3,0.3
1,64,novice,I just want to test this one.,0,0
1,65,novice,and how to run this ?,-0.3,0.3
1,66,novice,I just want to and  they can just like.,0.7,0.7
1,67,novice,I just.,0,0
1,68,novice,sorry.,-0.8,0.8
1,69,novice,maybe make this one.,0,0
1,70,novice,OK.,0.5,0.5
1,71,novice,OK.,0.5,0.5
1,72,novice,OK.,0.5,0.5
1,73,novice,OK.,0.5,0.5
1,74,novice,sorry.,-0.8,0.8
1,75,novice,why do you write a for within the loop within the while?,-0.5,0.5
1,76,novice,why?,-0.5,0.5
1,77,novice,I have another idea for that.,0.1,0.1
1,78,novice,"actually, without a while loop.",0.2,0.2
1,79,novice,but it's OK.,0.2,0.2
1,80,novice,no problem.,0.6,0.6
1,81,novice,"it is num, isn’t it?",-0.2,0.2
1,82,novice,can I try this one.,-0.1,0.1
1,83,novice,can you run this?,-0.1,0.1
1,84,novice,how about this one?,-0.2,0.2
1,85,novice,can you run it again?,-0.3,0.3
1,86,novice,OK.,0.5,0.5
1,87,novice,then we need do it again.,-0.4,0.4
1,88,novice,ah that's my bad.,-0.8,0.8
1,89,novice,I understand that what is the issue again.,-0.3,0.3
1,90,novice,yes.,0.6,0.6
1,91,novice,that should be array string and then while loop and then move.,-0.4,0.4
1,92,novice,It just oh remove this one and remove this one and then digit parse int.,-0.7,0.7
1,93,novice,ahha.,0.2,0.2
1,94,novice,"we can do maybe something like this, int while equal to one.",0,0
1,95,novice,"then, can we do something like this.",-0.2,0.2
1,96,novice,"and then after a while, then the time.",-0.4,0.4
1,97,novice,uh because we need to run this function again and then because we need to convert this multiplier into string again and then check if  it’s more than one blah blah.,-0.6,0.6
1,98,novice,than should go like this?,-0.4,0.4
1,99,novice,I mean in the example.,-0.1,0.1
1,100,novice,"so is the multiply by 27, right?",0,0
1,101,novice,and then result is convert to the to string again.,-0.1,0.1
1,102,novice,is I'm right?,0,0
1,103,novice,but if it is bigger than one time one not.,-0.4,0.4
1,104,novice,so that one goes like this.,-0.4,0.4
1,105,novice,and then Umm just give.,-0.1,0.1
1,106,novice,uh.,0,0
1,107,novice,I found something like this.,0.7,0.7
1,108,novice,does work in my locals working.,0,0
1,109,novice,"So then, no worries.",0.4,0.4
1,110,novice,OK.,0.5,0.5
1,111,novice,boolean.,0.2,0.2
1,112,novice,yes.,0.6,0.6
1,113,novice,yes.,0.6,0.6
1,114,novice,that's why I'm writing in.,-0.3,0.3
1,115,novice,Yes.,0.4,0.4
1,116,novice,Sorry.,-0.7,0.7
1,117,novice,index is not given to us.,-0.8,0.8
1,118,novice,index is not given to us.,-0.8,0.8
1,119,novice,uh my logic is completely wrong.,-0.9,0.9
1,120,novice,Yes.,0.4,0.4
1,121,novice,you are right.,0.4,0.4
1,122,novice,and if it is another function then.,-0.3,0.3
1,123,novice,and then should be math dot around or something like this.,-0.1,0.1
1,124,novice,It should be floor.,-0.4,0.4
1,125,novice,Yes.,0.4,0.4
1,126,novice,OK.,0.5,0.5
1,127,novice,Is that correct?,-0.2,0.2
1,128,novice,Array dot length.,0,0
1,129,novice,It has never used.,-0.5,0.5
1,130,novice,OK uh if it return double OK Umm sorry.,-0.6,0.6
1,131,novice,double.,0,0
1,132,novice,index.,0,0
1,133,novice,you are right.,0.4,0.4
1,134,novice,yes.,0.6,0.6
1,135,novice,almost ready.,0.4,0.4
1,136,novice,oh OK.,0.4,0.4
1,137,novice,return a position.,-0.2,0.2
1,138,novice,I think we have died from the game.,-0.6,0.6
1,139,novice,"so we don't, we don't need to calculate.",-0.4,0.4
1,140,novice,"we don't, we don't need.",-0.6,0.6
1,141,novice,we need to divide by two.,-0.4,0.4
1,142,novice,we first need to go to with the.,-0.1,0.1
1,143,novice,uh I think we can do something like this.,0,0
1,144,novice,if is equal to.,0,0
1,145,novice,and we need to break from the loop function.,-0.4,0.4
1,146,novice,what is the next one? for example what if like this 1 1 is equal.,0,0
1,147,novice,and then 3 3 is equal.,0,0
1,148,novice,but all 6 6  is also equal.,0,0
1,149,novice,"but in our case, if do not calculate the one because it will say that OK.",-0.4,0.4
1,150,novice,"it is fine, then it will break.",-0.4,0.4
1,151,novice,I have one more idea.,0.2,0.2
1,152,novice,I can run down.,-0.5,0.5
1,153,novice,you can continue there.,0.4,0.4
1,154,novice,"afterwards, check Umm.",-0.2,0.2
1,155,novice,I but what.,-0.2,0.2
1,156,novice,if but after the first iteration if you stop that station.,-0.3,0.3
1,157,novice,you know what I mean?,0,0
1,158,novice,"so, let's say that index is one and the i is one.",-0.1,0.1
1,159,novice,"and then, we get the first element and the last element, right?",-0.2,0.2
1,160,novice,"And then, some first will be one, some last will be one.",-0.1,0.1
1,161,novice,"Then, if you check if equal then break or return index to stop.",-0.6,0.6
1,162,novice,It will not go further this.,-0.7,0.7
1,163,novice,It could be.,0,0
1,164,novice,I think I have an idea again.,0.6,0.6
1,165,novice,"So, we can sum first equal to sum last.",0,0
1,166,novice,Then is equal equal to true.,0,0
1,167,novice,OK.,0.5,0.5
1,168,novice,OK.,0.5,0.5
1,169,novice,and then it came here the next step.,0,0
